train_file:/home/syp/zwr/txtgen/examples/long_text/nmt_data.medium/nmt.train.txt
valid_file:/home/syp/zwr/txtgen/examples/long_text/nmt_data.medium/nmt.valid.txt
logdir:./log_dir/nmt.bsize400.epoch150.seqlen16.random.present0.5.partition2.hidden512/
epoch:0 test_present_rate:0.5 test_bleu:17.113512754440308 template_bleu:43.70725154876709
epoch:0 test_present_rate:0.5 train_bleu:18.485109508037567 template_bleu:45.71179449558258
step:1 source:(400, 18) loss:6.31628 lr:0.000035
step:201 source:(400, 18) loss:3.99872 lr:0.000035
step:401 source:(400, 18) loss:3.92835 lr:0.000035
step:601 source:(400, 18) loss:3.87957 lr:0.000035
step:801 source:(400, 18) loss:3.8485 lr:0.000035
step:1001 source:(400, 18) loss:3.78211 lr:0.000035
step:1201 source:(400, 18) loss:3.74067 lr:0.000035
step:1401 source:(400, 18) loss:3.75397 lr:0.000035
step:1601 source:(400, 18) loss:3.78326 lr:0.000035
step:1801 source:(400, 18) loss:3.71654 lr:0.000035
step:2001 source:(400, 18) loss:3.70901 lr:0.000035
step:2201 source:(400, 18) loss:3.72128 lr:0.000035
step:2401 source:(400, 18) loss:3.63521 lr:0.000035
step:2601 source:(400, 18) loss:3.64976 lr:0.000035
step:2801 source:(400, 18) loss:3.66076 lr:0.000035
step:3001 source:(400, 18) loss:3.65085 lr:0.000035
step:3201 source:(400, 18) loss:3.67377 lr:0.000035
step:3401 source:(400, 18) loss:3.69593 lr:0.000035
step:3601 source:(400, 18) loss:3.63604 lr:0.000035
step:3801 source:(400, 18) loss:3.63272 lr:0.000035
step:4001 source:(400, 18) loss:3.65054 lr:0.000035
step:4201 source:(400, 18) loss:3.62092 lr:0.000035
step:4401 source:(400, 18) loss:3.64036 lr:0.000035
step:4601 source:(400, 18) loss:3.61077 lr:0.000035
step:4801 source:(400, 18) loss:3.59968 lr:0.000035
step:5001 source:(400, 18) loss:3.6003 lr:0.000035
step:5201 source:(400, 18) loss:3.5709 lr:0.000035
step:5401 source:(400, 18) loss:3.58187 lr:0.000035
step:5601 source:(400, 18) loss:3.57067 lr:0.000035
step:5801 source:(400, 18) loss:3.59211 lr:0.000035
